coin_name,arima_gain_percent,xgboost_gain_percent,combined_gain_percent,current_price,arima_prediction,xgboost_prediction,combined_prediction,prediction_score
BTC,0.0,-0.03,-0.01,104729.14,104729.14,104699.34,104714.24,0
ETH,-0.0,-0.24,-0.12,2523.66,2523.61,2517.52,2520.56,0
XRP,0.66,0.54,0.6,2.17,2.18,2.18,2.18,1
SOL,-0.32,0.15,-0.08,146.78,146.31,147.01,146.66,0
DOGE,2.67,0.38,1.53,0.17,0.17,0.17,0.17,1
ADA,-0.19,1.13,0.47,0.6,0.6,0.61,0.6,1
TRX,-0.09,0.09,0.0,0.27,0.27,0.28,0.27,1
AVAX,-0.29,1.71,0.71,18.11,18.06,18.42,18.24,1
SUI20947,0.38,0.48,0.43,2.82,2.83,2.83,2.83,1
TON11419,-1.23,0.2,-0.51,2.97,2.93,2.97,2.95,0
