Coin Name,Current Price,Estimated Price,Combined Gain %,Prediction Score,Sentiment Score,Total Score
TRX,0.27,0.27,0.0,1,0.8571428571428571,1.8571428571428572
XRP,2.17,2.18,0.6,1,0.7083333333333334,1.7083333333333335
DOGE,0.17,0.17,1.53,1,0.6818181818181818,1.6818181818181817
ADA,0.6,0.6,0.47,1,0.6666666666666666,1.6666666666666665
SUI20947,2.82,2.83,0.43,1,0.6363636363636364,1.6363636363636362
AVAX,18.11,18.24,0.71,1,0.5714285714285714,1.5714285714285714
BTC,104729.14,104714.24,-0.01,0,0.8571428571428571,0.8571428571428571
TON11419,2.97,2.95,-0.51,0,0.782608695652174,0.782608695652174
SOL,146.78,146.66,-0.08,0,0.5925925925925926,0.5925925925925926
ETH,2523.66,2520.56,-0.12,0,0.5454545454545454,0.5454545454545454
